MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\default.txt
Data file,C:\NidecDAQ\Data\SAVE_A1234_562022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4 / E-Tester260   No. 500
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
,,SPEC max,0,5000,25,100
,,SPEC min,0,2500,23,90
LOT,No.,Judge
A1234,1,NG,,-----,0,-----,END,1,10,5/6/2022,15:25:30
A1234,1,NG,,-----,2.86,0.064,END,1,10,5/6/2022,15:39:27
A1234,2,NG,,----,26.936,0.064,END,1,10,5/6/2022,15:40:3
A1234,3,NG,,145,----,0.064,END,1,10,5/6/2022,15:40:53
A1234,1,NG,,-----,26.936,0.064,END,1,10,5/6/2022,15:45:25
A1234,2,NG,,651,26.936,0.064,END,1,10,5/6/2022,15:48:0
A1234,3,NG,,651,26.936,0.064,END,1,10,5/6/2022,15:49:39
MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\default.txt
Data file,C:\NidecDAQ\Data\SAVE_A1234_562022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4 / E-Tester260   No. 500
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
,,SPEC max,0,5000,27.5,0.1
,,SPEC min,0,2500,23.3,0.03
LOT,No.,Judge
A1234,4,NG,,857,7.216,0.064,END,1,10,5/6/2022,15:52:18
MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\default.txt
Data file,C:\NidecDAQ\Data\SAVE_A1234_562022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4 / E-Tester260   No. 500
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
,,SPEC max,0,5000,27.5,0.1
,,SPEC min,0,200,23.3,0.03
LOT,No.,Judge
A1234,5,NG,,0,7.216,0.064,END,1,10,5/6/2022,15:53:25
A1234,6,NG,,582,7.216,0.064,END,1,10,5/6/2022,15:53:45
A1234,7,NG,,0,20.28,0.064,END,1,10,5/6/2022,15:55:44
A1234,8,NG,,----,7.216,0.064,END,1,10,5/6/2022,15:56:10
A1234,9,NG,,----,7.216,0.063,END,1,10,5/6/2022,15:56:37
A1234,10,NG,,----,8.304,0.064,END,1,10,5/6/2022,16:0:14
A1234,11,NG,,----,26.936,0.064,END,1,10,5/6/2022,16:1:52
A1234,12,NG,,-----,26.936,0.064,END,1,10,5/6/2022,16:7:11
A1234,13,NG,,-----,26.936,0.064,END,1,10,5/6/2022,16:9:7
A1234,14,NG,,642,0.269,0.064,END,1,10,5/6/2022,16:9:36
A1234,15,NG,,471,0.269,0.064,END,1,10,5/6/2022,16:10:32
A1234,12,NG,,-----,269,0.064,END,1,10,5/6/2022,16:12:0
A1234,12,NG,,-----,26.9,0.06,END,1,10,5/6/2022,16:12:18
A1234,12,NG,,----,26.9,0.063,END,1,10,5/6/2022,16:12:35
A1234,12,NG,,-----,-----,0.052,END,1,10,5/6/2022,16:12:56
A1234,12,NG,,----,26.9,0.063,END,1,10,5/6/2022,16:13:2
A1234,12,NG,,----,26.9,0.063,END,1,10,5/6/2022,16:13:3
A1234,12,NG,,----,26.9,0.063,END,1,10,5/6/2022,16:13:4
A1234,12,,,----,26.9,0.064,END,1,10,5/6/2022,16:13:49
A1234,12,NG,,----,26.9,0.064,END,1,10,5/6/2022,16:13:50
A1234,12,NG,,-----,-----,-----,END,1,10,5/6/2022,16:14:32
A1234,13,NG,,0,26.9,0.064,END,1,10,5/6/2022,16:14:57
A1234,14,NG,,471,26.9,0.064,END,1,10,5/6/2022,16:15:26
A1234,18,NG,,145,26.9,0.064,END,1,10,5/6/2022,16:18:55
A1234,20,NG,,1002,26.9,0.064,END,1,10,5/6/2022,16:19:18
A1234,22,NG,,0,26.9,0.064,END,1,10,5/6/2022,16:22:47
A1234,23,OK,,471,26.9,0.064,END,1,10,5/6/2022,16:23:30
A1234,25,NG,,240,26.9,0.064,END,1,10,5/6/2022,16:24:19
A1234,27,NG,,222,26.9,0.064,END,1,10,5/6/2022,16:26:23
A1234,29,NG,,420,26.9,0.064,END,1,10,5/6/2022,16:27:0
A1234,31,NG,,257,26.9,0.064,END,1,10,5/6/2022,16:27:47
